,unq_ids,ra,dec,m_f814w,e_f814w,m_f850lp,e_f850lp,type,target
0,0,237.9591707009825,-21.582685895526943,22.2773533090152,0.0212576258927583,21.078352556714613,0.0229838024824857,1,
1,1,251.6504980156288,-23.22715502396358,20.84098252342405,0.0059010498225688,19.749263563132764,0.0069315596483647,1,
2,2,238.5694232156599,-26.505131228149015,21.448087315398528,0.0109769105911254,20.33028053397813,0.0120191313326358,1,
3,3,241.6860922957023,-20.561958458050395,21.493396736589307,0.0119358832016587,20.31807164296205,0.0120696770027279,1,
4,4,243.64480424478836,-24.326007804504044,21.55310831305447,0.011095380410552,20.29990372759982,0.0113293966278433,1,
5,5,247.04290079840197,-26.673436687805328,21.419805158804422,0.0103665394708514,20.159705792683496,0.0101898657158017,1,
6,6,241.88167608033177,-21.781888992957537,22.18258567342825,0.0220995359122753,20.929664783570615,0.0211791284382343,1,
7,7,238.9322686924369,-23.341438129414332,21.85420150096143,0.0159961748868227,20.710079515884757,0.016868831589818,1,
8,8,237.3138087651073,-24.694251812554015,22.007756644290577,0.0179824810475111,20.91548657112067,0.0204109773039817,1,
9,9,242.3277516372519,-22.49005155708848,22.00117075300867,0.018723951652646,20.88358983133771,0.0204911548644304,1,
10,10,241.73468914180376,-16.945772988183773,22.110921250798626,0.0207018330693244,20.930441884885212,0.0210169143974781,1,
11,11,243.53146974954447,-22.19793965615739,22.4031503269733,0.0271112248301506,21.21858886046591,0.0272469278424978,1,
12,12,244.47543098532185,-23.435078302935917,22.213313356995716,0.0201217420399189,20.99012942519524,0.0213521178811788,1,
13,13,239.01493794600876,-22.199794733299704,22.377295530372574,0.0255709886550903,21.282124990715523,0.0284271072596311,1,
14,14,241.10572290644023,-25.816159820521264,22.299104989491365,0.0239290613681077,21.12779369603699,0.0247998889535665,1,
15,15,241.07464386077825,-19.60650495765452,22.1603347266695,0.0192169845104217,20.99931180633996,0.0210196282714605,1,
16,16,241.4127916850368,-24.059221458053376,22.36262020002928,0.0255330353975296,21.314966050640543,0.0294421315193176,1,
17,17,246.4866001138065,-21.22656612489216,22.85881500715662,0.0377475395798683,21.385062670150177,0.0308573842048645,1,
18,18,245.243349695869,-21.619679026736232,22.3870669700238,0.0235227867960929,21.253498851749256,0.0269935838878154,1,
19,19,244.14568359161655,-22.264326944828472,22.317610703326036,0.0226408597081899,21.15649662466291,0.0251509845256805,1,
20,20,249.87619836425105,-24.90381703109223,22.270783685911297,0.0222551673650741,21.29570070583231,0.0289402920752763,1,
21,21,242.79224863767232,-21.75480030441718,22.459394668684627,0.0253860596567392,21.346477796852017,0.0295371171087026,1,
22,22,236.41760701593097,-24.36873738411561,22.7968713404692,0.0367058739066123,21.728429379061645,0.0425164997577667,1,
23,23,239.6500407373032,-19.07763833431732,22.365537396962967,0.0236939750611782,21.23072878436965,0.0271027199923992,1,
24,24,241.05138038561387,-21.463169678265672,22.605761593689568,0.0321590229868888,21.50207729871567,0.0351554937660694,1,
25,25,242.05406365564292,-23.07553283100435,23.158814400930627,0.0534848868846893,21.887340325812247,0.0504822507500648,1,
26,26,239.62062193732433,-25.508914240698903,22.63352487139085,0.0319485627114772,21.634145024757345,0.039212916046381,1,
27,27,243.44117735213527,-24.708673249244455,23.04787203916855,0.0439109355211257,21.830881445870197,0.0465846955776214,1,
28,28,243.4673454103065,-24.732326639157247,22.939668752872823,0.0401816554367542,21.813999271557613,0.0458920709788799,1,
29,29,242.2920805882811,-19.510490744952993,23.04284067844723,0.048019990324974,21.833409359769966,0.0475574359297752,1,
30,30,64.96015350472163,28.346738276404203,21.137171506670303,0.0075757103040814,19.998482246422213,0.00858267955482,1,
31,31,68.67369501181014,22.346829205679164,23.400121304802877,0.0624623782932758,22.169181207680552,0.0625808387994766,1,
